gene_id	SRR6468502	SRR6468503	SRR6468507	SRR6468509	SRR6468516	SRR6468518	SRR6468522	SRR6468525	SRR6468527	SRR6468528	SRR6468529	SRR6468534	SRR6468540	SRR6468541	SRR6468546	SRR6468549	SRR6468555	SRR6468559	SRR6468560	SRR6468565	SRR6468566	SRR6468567	SRR6468568	SRR6468569	SRR6468571	SRR6468572	SRR6468573	SRR6468574	SRR6468575	SRR6468576	SRR6468577	SRR6468578	SRR6468579	SRR6468580	SRR6468581	SRR6468582	SRR6468583	SRR6468584	SRR6468585	SRR6468586	SRR6468587	SRR6468588	SRR6468590	SRR6468591	SRR6468592	SRR6468593	SRR6468594	SRR6468595	SRR6468596	SRR6468597	SRR6468598	SRR6468599	SRR6468600	SRR6468601	SRR6468602	SRR6468603	SRR6468604	SRR6468605	SRR6468606	SRR6468607	SRR6468608	SRR6468609	SRR6468610	SRR6468611	SRR6468612	SRR6468613	SRR6468614	SRR6468615	SRR6468616	SRR6468617	SRR6468618	SRR6468619	SRR6468620	SRR6468621	SRR6468622	SRR6468623	SRR6468624	SRR6468625	SRR6468626	SRR6468627	SRR6468628	SRR6468629	SRR6468630	SRR6468631	SRR6468632	SRR6468633	SRR6468634	SRR6468635	SRR6468636	SRR6468637	SRR6468639	SRR6468640	SRR6468641	SRR6468642	SRR6468643	SRR6468644	SRR6468645	SRR6468646	SRR6468647	SRR6468648	SRR6468649	SRR6468650	SRR6468651	SRR6468652	SRR6468653	SRR6468654	SRR6468655	SRR6468656	SRR6468657	SRR6468658	SRR6468659	SRR6468660	SRR6468661	SRR6468662	SRR6468663	SRR6468664	SRR6468665	SRR6468666	SRR6468667	SRR6468668	SRR6468669	SRR6468670	SRR6468672	SRR6468673	SRR6468674	SRR6468675	SRR6468676	SRR6468677	SRR6468678	SRR6468679	SRR6468680	SRR6468681	SRR6468682	SRR6468683	SRR6468684	SRR6468685	SRR6468686	SRR6468687	SRR6468688	SRR6468689	SRR6468690	SRR6468691	SRR6468692	SRR6468693	SRR6468694	SRR6468695	SRR6468696	SRR6468697	SRR6468698	SRR6468699	SRR6468700	SRR6468701	SRR6468702	SRR6468703	SRR6468704	SRR6468705	SRR6468706	SRR6468707	SRR6468708	SRR6468709	SRR6468710	SRR6468711	SRR6468712	SRR6468713	SRR6468714	SRR6468715	SRR6468716	SRR6468717	SRR6468718
UHGG002004_00011	10.167260	0.000000	2.000000	0.000000	1.421053	0.000000	1.000000	0.000000	0.000000	6.700000	3.184615	9.476447	1.313333	3.885402	10.919437	12.357445	7.532758	31.764429	1.000000	13.168098	0.000000	0.000000	0.000000	34.339031	9.390536	0.000000	5.094340	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.380368	2.273504	3.722045	0.000000	9.815886	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.264499	0.000000	8.653580	0.000000	0.000000	0.000000	0.000000	7.000000	0.000000	4.021093	0.000000	0.000000	0.000000	0.000000	8.128205	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.083151	18.201203	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.937198	1.000000	0.000000	0.000000	0.000000	0.000000	2.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2.318386	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.187693	0.000000	0.000000	14.613710	7.779266	0.000000	0.000000	1.429078	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.649662	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.259687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.456888	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.602410	0.000000	0.000000	0.000000	0.000000	0.000000	22.011779	0.000000	0.000000	0.000000	2.329114	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.880829	0.000000	0.000000
UHGG002004_00012	29.226699	11.516710	20.528060	0.000000	9.452487	9.767834	7.293478	0.000000	0.000000	13.129392	22.493379	12.740144	4.111270	20.518602	11.068605	23.477314	28.647613	12.426194	8.054654	18.056565	0.000000	0.000000	0.000000	24.697434	7.507908	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	0.000000	0.000000	6.443910	0.000000	0.000000	0.000000	0.000000	0.000000	24.367184	0.000000	9.899811	0.000000	0.000000	0.000000	0.000000	13.810216	0.000000	10.900470	2.000000	0.000000	0.000000	0.000000	33.993457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.640264	11.608716	0.000000	0.000000	0.000000	0.000000	1.087209	0.000000	0.000000	0.000000	0.000000	0.000000	7.357357	4.193514	0.000000	0.000000	0.000000	0.000000	5.727627	0.000000	0.000000	0.000000	0.000000	0.000000	4.661268	0.000000	0.000000	0.000000	0.000000	0.000000	12.667193	14.499158	0.000000	0.000000	13.859821	10.221809	0.000000	0.000000	3.771242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	28.655492	0.000000	2.512859	0.000000	2.414384	0.000000	0.000000	0.000000	0.000000	17.590710	0.000000	2.157993	0.000000	0.000000	0.000000	0.000000	20.320268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.989011	0.000000	0.000000	0.000000	0.000000	0.000000	10.655733	0.000000	8.365903	0.000000	6.439739	0.000000	0.000000	1.000000	23.434457	0.000000	0.000000	0.000000	6.507772	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.611562	0.000000	2.879896
UHGG163442_00875	48.434393	28.649562	46.129903	0.000000	8.728568	14.779871	14.006135	0.000000	0.000000	29.519046	48.981898	16.110923	8.091506	32.631757	19.103090	20.964314	40.998757	21.764663	18.710067	9.598349	2.854406	0.000000	0.000000	17.416680	6.145807	0.000000	7.497462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.961165	3.290476	8.086066	0.000000	17.419954	0.000000	0.000000	6.003575	0.000000	0.000000	0.000000	0.000000	0.000000	12.937329	0.000000	11.169730	0.000000	0.000000	0.000000	0.000000	26.066449	0.000000	17.667381	4.129349	0.000000	0.000000	0.000000	23.533058	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.099036	9.243540	0.000000	1.374150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.644495	2.418640	0.000000	0.000000	0.000000	0.000000	7.185779	0.000000	4.785165	0.000000	0.000000	0.000000	9.263053	0.000000	0.000000	0.000000	1.101190	0.000000	5.899736	17.627182	0.000000	0.000000	18.773707	13.336975	0.000000	0.000000	2.729729	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	43.773755	0.000000	3.688008	0.000000	2.143678	0.000000	0.000000	0.000000	1.887850	44.218851	0.000000	4.799172	0.000000	0.000000	0.000000	0.000000	17.966397	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.905263	0.000000	0.000000	0.000000	0.000000	0.000000	8.783138	0.000000	14.676462	0.000000	8.546423	0.000000	0.000000	0.000000	23.120901	0.000000	0.000000	0.000000	6.576267	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	13.449612	3.969466	4.000000
UHGG002004_00016	85.196071	17.582388	32.125125	0.000000	0.000000	22.180677	20.780541	0.000000	0.000000	35.366033	73.464165	9.591149	12.889222	26.593272	32.131922	20.123829	38.980649	2.763000	28.866183	4.000000	0.000000	0.000000	0.000000	26.208243	9.708554	0.000000	4.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.969543	0.000000	3.452402	0.000000	0.000000	4.750910	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.994751	0.000000	0.000000	0.000000	0.000000	44.238662	0.000000	5.830831	0.000000	0.000000	0.000000	0.000000	3.977528	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.223929	0.000000	2.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.420147	3.449016	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.156448	0.000000	0.000000	0.000000	15.039111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	0.000000	0.000000	27.112053	0.000000	0.000000	0.000000	3.177419	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	93.562301	0.000000	7.856397	0.000000	3.568109	0.000000	0.000000	0.000000	0.000000	68.910838	0.000000	8.511658	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.115108	5.385942	0.000000	24.366039	0.000000	16.526088	0.000000	0.000000	1.454327	28.473585	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	26.149088	5.646772	0.000000
UHGG104729_00197	22.734441	2.823009	34.766506	0.000000	4.791165	4.005618	23.452948	3.730673	56.641103	11.255285	35.305644	0.000000	2.978261	3.970149	3.716867	2.000000	5.446541	5.752232	12.230737	0.000000	2.367788	0.000000	0.000000	27.860396	5.773300	0.000000	7.655882	0.000000	0.000000	0.000000	8.252688	0.000000	37.235230	1.000000	0.000000	6.218673	0.000000	6.894632	0.000000	0.000000	1.174419	0.000000	0.000000	0.000000	0.000000	0.000000	35.985930	0.000000	2.015152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	26.017269	5.406504	0.000000	0.000000	0.000000	51.144254	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.072119	6.137631	0.000000	0.000000	1.807292	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.087766	5.527972	0.000000	0.000000	0.000000	0.000000	3.391499	0.000000	1.362791	5.594203	0.000000	0.000000	9.248943	0.000000	0.000000	0.000000	2.062016	0.000000	2.095101	16.713050	0.000000	0.000000	0.000000	1.302932	0.000000	0.000000	2.032432	8.090567	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.500000	0.000000	0.000000	0.000000	24.553846	0.000000	0.000000	2.000000	0.000000	14.174940	0.000000	0.000000	6.452055	0.000000	21.777809	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.692452	0.000000	0.000000	0.000000	3.890173	0.000000	0.000000	0.000000	5.571127	0.000000	0.000000	0.000000	1.574468	0.000000	0.000000	0.000000	0.000000	4.242269	0.000000	1.900000	4.235971	1.000000
UHGG002004_00118	32.820047	19.435522	25.055979	5.835123	9.513333	15.885534	2.109890	41.189310	34.552617	17.421779	24.584002	9.603512	7.775372	18.692769	8.883411	17.933670	34.570753	27.140000	5.849866	7.687343	11.936804	0.000000	0.000000	10.324319	8.181999	0.000000	52.241921	0.000000	1.585586	0.000000	30.384439	0.000000	9.687500	3.559091	7.140510	26.059866	0.000000	102.139723	0.000000	0.000000	5.098938	0.000000	0.000000	0.000000	0.000000	0.000000	2.787611	0.000000	13.504772	0.000000	0.000000	0.000000	0.000000	14.248768	0.000000	6.038588	9.175556	0.000000	0.000000	0.000000	10.845517	0.000000	1.980392	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.928105	17.173466	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.470322	6.641129	0.000000	0.000000	0.000000	0.000000	7.702222	0.000000	7.252252	0.000000	0.000000	0.000000	9.162234	0.000000	0.000000	0.000000	5.719008	0.000000	9.100269	32.560000	0.000000	0.000000	8.901380	0.000000	0.000000	0.000000	10.586868	34.024062	0.000000	0.000000	0.000000	0.000000	0.000000	45.760722	0.000000	2.651064	0.000000	2.092896	0.000000	11.743961	0.000000	1.590551	46.736699	0.000000	20.599630	0.000000	0.000000	3.882353	0.000000	20.760504	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.912879	0.000000	17.803977	1.202381	9.261307	0.000000	2.843949	0.000000	24.004474	0.000000	0.000000	6.348315	6.160353	0.000000	0.000000	1.459854	0.000000	15.150289	0.000000	23.215311	2.828571	2.452247
UHGG002198_00401	12.229318	0.000000	25.455229	13.975635	0.000000	0.000000	8.357778	4.928172	10.350812	0.000000	11.713147	7.797823	1.000000	13.883838	1.000000	16.080148	1.297297	0.000000	14.288000	7.521368	0.000000	0.000000	1.393103	12.271889	4.818667	0.000000	5.632770	0.000000	0.000000	0.000000	0.000000	0.000000	23.037080	1.000000	0.000000	6.592593	0.000000	3.407767	0.000000	0.000000	3.258040	0.000000	0.000000	2.000000	0.000000	0.000000	18.581497	0.000000	2.711864	0.000000	0.000000	0.000000	0.000000	13.480495	0.000000	11.449889	0.000000	0.000000	0.000000	0.000000	50.825466	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.987952	0.000000	0.000000	0.000000	4.870000	8.606362	0.000000	0.000000	3.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.278547	0.000000	0.000000	0.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	19.634810	0.000000	0.000000	0.000000	3.989583	0.000000	6.099432	0.000000	0.000000	0.000000	1.010204	10.791615	0.000000	0.000000	4.041667	3.989899	0.000000	0.000000	0.000000	0.000000	0.000000	30.504420	0.000000	0.000000	0.000000	5.193191	0.000000	31.363476	0.000000	0.000000	26.735896	0.000000	6.979042	0.000000	0.000000	27.291155	0.000000	33.641079	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.306652	0.000000	2.995050	0.000000	0.000000	0.000000	5.868237	0.000000	0.000000	8.858918	11.898707	0.000000	0.000000	0.000000	0.000000	20.086511	0.000000	2.273312	7.669992	0.000000
UHGG002004_00185	4.429287	7.629213	14.104054	9.036012	7.899371	6.602996	13.240601	20.239700	42.603246	12.976923	8.835990	5.162071	4.411765	19.659176	3.859731	14.779026	8.089888	9.894942	18.857678	1.000000	4.660377	0.000000	0.000000	22.033390	0.000000	0.000000	23.356632	0.000000	0.000000	0.000000	14.764981	0.000000	52.157303	3.101961	2.836207	14.191729	0.000000	31.265918	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.298805	0.000000	1.200893	0.000000	0.000000	0.000000	0.000000	24.277154	0.000000	15.200347	2.061611	0.000000	0.000000	0.000000	9.061189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.505618	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.252809	5.530769	0.000000	0.000000	0.000000	0.000000	4.336066	0.000000	6.750943	2.242038	0.000000	0.000000	14.880969	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	13.015267	0.000000	0.000000	11.344569	12.431907	0.000000	0.000000	5.220994	18.097378	0.000000	0.000000	0.000000	0.000000	0.000000	60.561280	0.000000	1.716867	0.000000	4.142848	0.000000	9.176835	0.000000	0.000000	39.340946	0.000000	11.138111	0.000000	0.000000	25.907603	0.000000	39.850187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.227941	0.000000	0.000000	0.000000	0.000000	0.000000	5.554264	0.000000	13.996255	0.000000	3.461538	0.000000	0.000000	0.000000	12.162384	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.003745	0.000000	1.104396
UHGG202205_00562	31.278191	2.912935	0.000000	0.000000	3.081923	1.560976	8.358974	6.541854	2.000000	2.172297	7.598870	1.000000	3.173333	0.000000	1.000000	1.000000	5.486459	1.890476	13.335088	0.000000	3.641324	0.000000	0.000000	0.000000	1.940594	0.000000	3.370968	0.000000	0.000000	0.000000	2.181090	0.000000	57.433587	1.694915	0.000000	5.111111	0.000000	9.220491	0.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.522388	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.885449	0.000000	0.000000	1.122677	0.000000	0.000000	0.000000	6.834057	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.189341	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.381098	0.000000	0.000000	0.000000	0.000000	0.000000	15.031135	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.725275	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	5.144385	1.000000	0.000000	0.000000	0.000000	0.000000	25.421780	0.000000	1.905660	0.000000	1.452926	0.000000	1.000000	0.000000	0.000000	2.000000	0.000000	4.921721	0.000000	0.000000	0.000000	0.000000	24.297466	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.738676	0.000000	7.515339	0.000000	0.000000	0.000000	0.000000	0.000000	6.647647	0.000000	0.000000	1.988095	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	2.375576	1.853480	2.000000
UHGG002004_00191	43.300807	9.407781	0.000000	0.000000	5.468421	7.046092	19.066043	24.541754	1.286624	8.056202	0.000000	0.000000	8.504931	0.000000	0.000000	0.000000	13.131827	16.535176	0.000000	0.000000	3.158730	0.000000	0.000000	0.000000	0.000000	0.000000	14.341040	0.000000	0.000000	0.000000	14.005742	0.000000	53.651227	2.834758	7.944444	13.517316	0.000000	38.964455	0.000000	0.000000	0.000000	0.000000	0.000000	1.594828	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	21.426144	0.000000	0.000000	4.365854	0.000000	0.000000	1.685714	46.949106	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.987261	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.026810	0.000000	0.000000	0.000000	0.000000	0.000000	5.405729	0.000000	3.831418	0.000000	0.000000	0.000000	19.631883	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.142539	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.498113	0.000000	0.000000	0.000000	0.000000	0.000000	49.443421	0.000000	0.000000	0.000000	5.626546	0.000000	0.000000	0.000000	0.000000	38.467601	0.000000	3.583562	0.000000	0.000000	0.000000	0.000000	1.988235	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	6.965839	0.000000	13.371242	0.000000	0.000000	0.000000	0.000000	0.000000	8.739514	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.431741	0.000000	0.000000
UHGG002004_00192	39.410242	10.048780	0.000000	0.000000	7.655462	10.275591	13.244179	28.985075	16.048327	16.581047	0.000000	0.000000	7.753012	0.000000	0.000000	0.000000	22.585949	21.961194	0.000000	0.000000	7.605351	0.000000	0.000000	0.000000	0.000000	0.000000	27.595611	0.000000	0.000000	0.000000	13.680723	0.000000	58.548566	5.849785	8.100000	14.055556	0.000000	51.193299	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	33.452736	0.000000	2.000000	4.717277	0.000000	0.000000	0.000000	83.262822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.250737	0.000000	0.000000	1.563492	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.324538	0.000000	0.000000	0.000000	0.000000	0.000000	3.145773	0.000000	10.542510	0.000000	0.000000	0.000000	15.949515	0.000000	0.000000	0.000000	1.988372	0.000000	0.000000	17.477273	0.000000	0.000000	0.000000	2.000000	0.000000	0.000000	0.000000	17.569916	0.000000	0.000000	0.000000	0.000000	0.000000	77.550400	0.000000	0.000000	0.000000	1.394531	0.000000	2.000000	0.000000	0.000000	54.970149	0.000000	6.789474	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.871080	0.000000	16.101299	0.000000	0.000000	0.000000	1.000000	0.000000	17.308686	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	9.906433	0.000000	0.000000
UHGG052245_01654	15.496680	10.841965	0.000000	0.000000	5.180611	4.440129	11.605589	15.639248	47.775564	7.034247	0.000000	0.000000	4.408824	12.167143	0.000000	13.709480	16.135360	9.142667	29.346435	0.000000	3.044527	0.000000	0.000000	0.000000	6.648352	0.000000	10.337317	0.000000	0.000000	0.000000	9.381333	0.000000	38.767508	4.189655	3.656463	10.393487	0.000000	34.601594	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.089655	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	22.189879	0.000000	35.533132	3.729042	0.000000	0.000000	0.000000	28.202759	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.827538	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.509036	1.526998	0.000000	0.000000	0.000000	0.000000	4.940845	0.000000	3.656786	0.000000	0.000000	0.000000	9.722634	0.000000	0.000000	0.000000	1.717687	0.000000	0.000000	14.950865	0.000000	0.000000	0.000000	9.069199	0.000000	0.000000	0.000000	13.488712	0.000000	0.000000	0.000000	0.000000	0.000000	30.032750	0.000000	1.395833	0.000000	0.000000	0.000000	31.468579	0.000000	0.000000	24.032301	0.000000	6.868539	0.000000	0.000000	15.138249	0.000000	34.380687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.429191	0.000000	11.259857	0.000000	0.000000	0.000000	0.000000	0.000000	8.464807	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.706539	1.853211	5.986413	0.000000	1.184953
UHGG002004_00196	14.876812	11.317164	0.000000	0.000000	5.508197	10.678161	8.021739	16.710145	78.630189	7.157143	0.000000	0.000000	5.961326	0.000000	0.000000	0.000000	8.572614	16.054348	6.340580	0.000000	2.464286	0.000000	0.000000	0.000000	2.515464	0.000000	23.818841	0.000000	0.000000	0.000000	13.963768	0.000000	27.501961	2.728261	4.082353	17.916667	0.000000	36.270270	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.449275	0.000000	0.000000	5.115607	0.000000	0.000000	0.000000	27.640316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.076613	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.263473	0.000000	0.000000	0.000000	0.000000	0.000000	4.460251	0.000000	8.939959	0.000000	0.000000	0.000000	10.656863	0.000000	0.000000	0.000000	1.881188	0.000000	0.000000	15.551724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	15.985507	0.000000	0.000000	0.000000	0.000000	0.000000	36.272000	0.000000	0.000000	0.000000	1.986842	0.000000	0.000000	0.000000	0.000000	28.685824	0.000000	5.788136	0.000000	0.000000	0.000000	0.000000	13.565217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.582524	0.000000	10.434579	0.000000	0.000000	0.000000	0.000000	0.000000	9.354717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	8.014493	0.000000	1.198718
UHGG002004_00198	34.906667	14.760000	0.000000	0.000000	10.786667	13.193333	9.427716	51.193333	75.100000	12.326667	0.000000	0.000000	8.533333	15.566667	0.000000	27.086667	17.066667	26.480000	18.680797	0.000000	13.533333	0.000000	0.000000	0.000000	8.735020	0.000000	52.973333	0.000000	0.000000	0.000000	18.300000	0.000000	29.286667	5.904110	7.066667	28.580000	0.000000	78.086667	0.000000	0.000000	5.895833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	22.073333	0.000000	23.140000	10.640000	0.000000	0.000000	0.000000	54.880699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.780000	12.846667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.506667	4.671141	0.000000	0.000000	0.000000	0.000000	6.560000	0.000000	4.660000	0.000000	0.000000	0.000000	12.048822	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	28.333333	0.000000	0.000000	26.026667	8.893333	0.000000	0.000000	9.326667	23.346667	0.000000	0.000000	0.000000	0.000000	0.000000	36.453333	0.000000	3.373333	0.000000	1.390977	0.000000	19.426667	0.000000	0.000000	30.893333	0.000000	15.309278	0.000000	0.000000	26.253333	0.000000	36.593334	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.693333	0.000000	12.406667	0.000000	0.000000	0.000000	0.000000	0.000000	22.113333	0.000000	0.000000	8.632653	0.000000	0.000000	0.000000	0.000000	0.000000	11.660000	0.000000	11.080000	0.000000	2.130435
